S.No,Model,Category Code,Category,Estimated Energy (kWh),Avg CO2 Emission (g),Tokens Used,Grid Intensity (gCO2/kWh),Measurement Method,Source Reference,Experiment Batch ID
1125,GPT-4,M3,Math Calculus,0.0016419,0.64,326,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
1126,Claude 3,P4,Physics Quantum,0.002462,1.08,975,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
1127,Claude 3,M2,Math Algebra,0.00133,0.55387,1031,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-2
1128,GPT-4,C5,Code LeetCode Hard,0.00205,1.0,500,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-1
1129,Llama-3 70B,M1,Math Basic,0.0004,0.17,1085,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
1130,Grok-1.5,R2,Reasoning Logical,0.0016,0.654,531,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
1131,Claude 3,R1,Reasoning Basic,0.001085,0.5159,323,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-2
1132,Llama-3 70B,C1,Code Basic,0.00032,0.1,874,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
1133,Claude 3,M3,Math Calculus,0.0016241,0.6968,591,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-15
1134,Claude 3,C5,Code LeetCode Hard,0.002098,0.99468,1186,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-5
1135,Grok-1.5,C3,Code DS/Algo,0.0017,0.8012,1719,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
1136,Llama-3 70B,C3,Code DS/Algo,0.0004,0.1269,381,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-8
1137,Grok-1.5,P2,Physics Mechanics,0.0012703,0.5231,373,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
1138,Grok-1.5,P1,Physics Basic,0.00148,0.6237,305,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
1139,Grok-1.5,M2,Math Algebra,0.001674,0.759,1724,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
1140,Llama-3 70B,C1,Code Basic,0.000386,0.193,870,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-7
1141,Claude 3,M3,Math Calculus,0.002,,1379,20,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-1
1142,Claude 3,P1,Physics Basic,0.0009724,0.316,657,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-15
1143,Claude 3,C5,Code LeetCode Hard,0.0023,0.95,848,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-2
1144,Grok-1.5,M5,Math Olympiad,0.0033045,1.7414,1520,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-5
1145,Claude 3,G3,General Long,0.001152,0.636,1078,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-10
1146,GPT-4,P2,Physics Mechanics,0.000782,0.35448,978,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
1147,Grok-1.5,R1,Reasoning Basic,0.0014969,0.74,431,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-7
1148,GPT-4,P4,Physics Quantum,0.0025598,1.377,1475,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-2
1149,Grok-1.5,M4,Math Advanced,0.00247,1.23849,1335,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
1150,GPT-4,C2,Code API/JSON,0.001305,0.54,594,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
1151,Llama-3 70B,C5,Code LeetCode Hard,0.0008,0.2853,105,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-2
1152,Llama-3 70B,G1,General Short,0.0003346,0.19,1233,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
1153,GPT-4,G3,General Long,0.0008,0.39046,1006,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-5
1154,Grok-1.5,P4,Physics Quantum,0.0031708,1.1368,1025,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
1155,Claude 3,C2,Code API/JSON,0.0015487,0.9413,677,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
1156,Claude 3,M2,Math Algebra,0.0013,0.51,608,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
1157,Claude 3,C5,Code LeetCode Hard,0.00248,1.293,1024,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-15
1158,GPT-4,C2,Code API/JSON,0.0012,0.571,1686,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
1159,Claude 3,R2,Reasoning Logical,0.00106,0.3615,506,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
1160,Claude 3,G2,General Medium,0.001,0.53404,1046,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
1161,GPT-4,M2,Math Algebra,0.001039,0.38,473,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
1162,GPT-4,R3,Reasoning Puzzle,0.0014,,1348,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-8
1163,Llama-3 70B,M3,Math Calculus,0.000663,0.38977,431,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-7
1164,Claude 3,R1,Reasoning Basic,0.0010269,0.547,210,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
1165,Grok-1.5,M3,Math Calculus,0.0022,,1148,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-8
1166,GPT-4,R1,Reasoning Basic,0.001,0.29,928,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
1167,Llama-3 70B,C4,Code LeetCode Easy,0.0003537,0.16784,871,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
1168,Grok-1.5,P2,Physics Mechanics,0.0015356,0.85,1742,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-15
1169,Claude 3,R2,Reasoning Logical,0.0009601,0.57,270,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-2
1170,Claude 3,C5,Code LeetCode Hard,0.002524,1.01,940,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
1171,Grok-1.5,M3,Math Calculus,0.0024964,0.937,1306,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-4
1172,Claude 3,P3,Physics EM,0.00097,0.5485,707,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
1173,GPT-4,P3,Physics EM,0.001,0.365,1605,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-12
1174,Llama-3 70B,C5,Code LeetCode Hard,0.00081,0.4258,1050,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
1175,GPT-4,R1,Reasoning Basic,0.00087,0.3138,459,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-7
1176,Llama-3 70B,P2,Physics Mechanics,0.00034,0.173,357,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
1177,Grok-1.5,C3,Code DS/Algo,0.001421,0.522,626,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
1178,Claude 3,P1,Physics Basic,0.001157,0.59,1572,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
1179,Llama-3 70B,P4,Physics Quantum,0.000862,0.4526,144,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-9
1180,Claude 3,M4,Math Advanced,0.0021,0.7742,1454,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
1181,Llama-3 70B,M5,Math Olympiad,0.00093,0.42,1171,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-7
1182,Claude 3,C1,Code Basic,0.000902,0.4718,1190,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-3
1183,GPT-4,P4,Physics Quantum,0.0026,1.071,272,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
1184,Llama-3 70B,M1,Math Basic,0.000353,0.162,821,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
1185,Llama-3 70B,C4,Code LeetCode Easy,0.0003,0.1598,644,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
1186,Grok-1.5,P4,Physics Quantum,0.0036,1.7958,1240,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
1187,Grok-1.5,C3,Code DS/Algo,0.001307,0.678,1414,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-14
1188,GPT-4,M4,Math Advanced,0.00212,1.0514,1423,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-2
1189,Llama-3 70B,C1,Code Basic,0.000366,0.1579,1406,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
1190,GPT-4,C1,Code Basic,0.0009,0.45,757,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
1191,Claude 3,C4,Code LeetCode Easy,0.00117,0.6105,1521,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
1192,GPT-4,R3,Reasoning Puzzle,0.001617,0.68123,898,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1193,Grok-1.5,G1,General Short,0.00162,0.57,125,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-7
1194,Grok-1.5,G1,General Short,0.0014,0.70443,327,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-6
1195,Llama-3 70B,M5,Math Olympiad,0.0008,0.435,900,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-13
1196,GPT-4,M5,Math Olympiad,0.0020441,0.714,1103,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
1197,GPT-4,M3,Math Calculus,0.001423,0.6682,1192,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
1198,Grok-1.5,P4,Physics Quantum,0.0038,1.348,188,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1199,GPT-4,C3,Code DS/Algo,0.000802,0.237,770,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-11
1200,Llama-3 70B,P1,Physics Basic,0.00035,0.151,401,20,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-11
1201,GPT-4,M1,Math Basic,0.00103,0.60288,1049,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
1202,Claude 3,P2,Physics Mechanics,0.001123,0.37834,565,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
1203,Claude 3,G1,General Short,0.001,0.463,1248,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-15
1204,Claude 3,C5,Code LeetCode Hard,0.002238,0.97105,1411,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-11
1205,Llama-3 70B,R3,Reasoning Puzzle,0.00059,0.235,318,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
1206,Llama-3 70B,M5,Math Olympiad,0.0009,0.46527,127,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
1207,Llama-3 70B,M2,Math Algebra,0.00045,0.262,1186,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1208,Llama-3 70B,G3,General Long,0.0003946,0.19,1472,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-3
1209,Claude 3,G3,General Long,0.001164,0.4512,1211,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1210,Llama-3 70B,M5,Math Olympiad,0.00084,0.4707,1761,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-7
1211,Claude 3,P1,Physics Basic,0.0011,0.48586,905,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-4
1212,GPT-4,P3,Physics EM,0.001138,0.5055,1543,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
1213,Llama-3 70B,M2,Math Algebra,0.0003886,0.125,1141,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-8
1214,Claude 3,P1,Physics Basic,0.00098,0.3202,1722,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
1215,GPT-4,M3,Math Calculus,0.0016,0.626,1150,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
1216,Claude 3,M5,Math Olympiad,0.00259,0.908,445,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
1217,Grok-1.5,G2,General Medium,0.001517,0.7152,155,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-9
1218,Grok-1.5,P4,Physics Quantum,0.00355,1.2,1668,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
1219,Grok-1.5,M5,Math Olympiad,0.003864,1.448,545,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
1220,Llama-3 70B,P4,Physics Quantum,0.0008537,0.4494,1215,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
1221,Grok-1.5,M4,Math Advanced,0.0026543,1.0131,1451,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-2
1222,Grok-1.5,R3,Reasoning Puzzle,0.00242,1.146,396,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-1
1223,Llama-3 70B,C2,Code API/JSON,0.0005364,0.271,171,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-8
1224,Llama-3 70B,P3,Physics EM,0.0004,0.22342,1768,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
1225,Claude 3,G2,General Medium,0.001103,0.52306,366,20,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-1
1226,GPT-4,R2,Reasoning Logical,0.0008,0.29581,173,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
1227,GPT-4,M5,Math Olympiad,0.002337,,1439,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-6
1228,Grok-1.5,M3,Math Calculus,0.0021,0.878,988,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
1229,Claude 3,R2,Reasoning Logical,0.001022,0.51401,1111,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-15
1230,GPT-4,R2,Reasoning Logical,0.00099,0.557,741,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-5
1231,GPT-4,R2,Reasoning Logical,0.000984,0.54,873,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
1232,Llama-3 70B,M5,Math Olympiad,0.000849,0.3,272,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
1233,Claude 3,M1,Math Basic,0.0009609,0.564,1310,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
1234,Claude 3,P1,Physics Basic,0.0011,0.58,1619,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
1235,Llama-3 70B,C4,Code LeetCode Easy,0.00038,0.1344,1781,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-14
1236,Llama-3 70B,P2,Physics Mechanics,0.0004,0.2,1112,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-1
1237,Claude 3,M3,Math Calculus,0.0016,0.6,1759,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
1238,GPT-4,G2,General Medium,0.001,0.57,777,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
1239,Claude 3,M3,Math Calculus,0.0019,0.6677,704,419,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
1240,GPT-4,R1,Reasoning Basic,0.00088,0.4475,1713,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
1241,Llama-3 70B,P2,Physics Mechanics,0.0003,0.13,158,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-6
1242,Llama-3 70B,M1,Math Basic,0.000391,0.138,1010,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-15
1243,Grok-1.5,G3,General Long,0.0014495,0.7181,1164,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
1244,GPT-4,C5,Code LeetCode Hard,0.0022965,1.1978,150,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
1245,GPT-4,G3,General Long,0.0010302,,1016,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-5
1246,GPT-4,G2,General Medium,0.0009,0.36,1060,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-11
1247,Llama-3 70B,G1,General Short,0.00034,0.1307,905,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-7
1248,GPT-4,P1,Physics Basic,0.00084,0.3554,757,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-3
1249,GPT-4,M5,Math Olympiad,0.0024551,1.229,988,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
1250,Llama-3 70B,P3,Physics EM,0.0003,0.123,1625,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
1251,Llama-3 70B,R2,Reasoning Logical,0.000377,0.16,656,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-15
1252,Llama-3 70B,P1,Physics Basic,0.0004,0.1861,830,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
1253,Grok-1.5,C1,Code Basic,0.0016082,0.7303,506,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
1254,Grok-1.5,M3,Math Calculus,0.00201,0.985,595,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-4
1255,GPT-4,G1,General Short,0.00107,0.37473,1145,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
1256,GPT-4,P2,Physics Mechanics,0.000796,0.2316,857,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-13
1257,Llama-3 70B,C4,Code LeetCode Easy,0.0003,0.157,1063,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
1258,Claude 3,G1,General Short,0.001,0.48959,516,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
1259,Grok-1.5,M1,Math Basic,0.0013,0.6736,1531,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-12
1260,Llama-3 70B,C2,Code API/JSON,0.000479,0.1701,1209,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
1261,Claude 3,P4,Physics Quantum,0.0029,1.62,432,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
1262,Llama-3 70B,P3,Physics EM,0.000434,0.24369,266,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
1263,Claude 3,C2,Code API/JSON,0.0016167,0.96305,516,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
1264,Llama-3 70B,M4,Math Advanced,0.000687,0.26481,1585,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
1265,GPT-4,P1,Physics Basic,0.000918,0.4437,267,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-4
1266,GPT-4,C5,Code LeetCode Hard,0.00208,0.848,1195,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-2
1267,Llama-3 70B,M3,Math Calculus,0.00053,0.20483,1476,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
1268,GPT-4,M5,Math Olympiad,0.0026,1.366,324,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-6
1269,GPT-4,P4,Physics Quantum,0.0021,0.77,1729,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-1
1270,Claude 3,G2,General Medium,0.00111,0.4215,1390,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
1271,Llama-3 70B,P4,Physics Quantum,0.000801,0.36,1684,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-6
1272,Claude 3,M1,Math Basic,0.0009,0.49,1054,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-4
1273,Grok-1.5,M1,Math Basic,0.0014,0.444,872,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
1274,GPT-4,C1,Code Basic,0.000916,0.34251,1419,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
1275,GPT-4,R2,Reasoning Logical,0.0010966,0.55065,465,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
1276,Claude 3,G2,General Medium,0.001071,0.52,1376,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
1277,Claude 3,C4,Code LeetCode Easy,0.001257,0.589,85,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-8
1278,Grok-1.5,G2,General Medium,0.0016,0.6641,1573,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-11
1279,Llama-3 70B,M3,Math Calculus,0.000552,0.2936,1208,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
1280,Grok-1.5,R1,Reasoning Basic,0.0015612,0.91,1608,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-13
1281,Claude 3,M4,Math Advanced,0.00191,0.78,689,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
1282,Claude 3,R2,Reasoning Logical,0.0011842,0.579,523,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-2
1283,Llama-3 70B,P3,Physics EM,0.000316,0.11641,1274,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-6
1284,Llama-3 70B,C5,Code LeetCode Hard,0.0007,0.23,1322,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-1
1285,Claude 3,M2,Math Algebra,0.0013203,0.44384,238,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
1286,Llama-3 70B,R2,Reasoning Logical,0.00039,0.22,177,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
1287,GPT-4,G2,General Medium,0.001,0.32814,120,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
1288,Claude 3,M3,Math Calculus,0.00173,0.7325,527,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
1289,GPT-4,C3,Code DS/Algo,0.001,0.39682,1136,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
1290,GPT-4,G2,General Medium,0.001092,0.552,1383,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
1291,Claude 3,M4,Math Advanced,0.0019,0.7927,1403,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
1292,Llama-3 70B,R2,Reasoning Logical,0.0003,0.17,620,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-2
1293,GPT-4,M3,Math Calculus,0.0016989,0.9,934,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-10
1294,Claude 3,M2,Math Algebra,0.0013,0.445,1153,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
1295,GPT-4,R1,Reasoning Basic,0.00091,0.3,1736,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
1296,GPT-4,R2,Reasoning Logical,0.0009,0.35,413,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-5
1297,Grok-1.5,R1,Reasoning Basic,0.00124,0.39954,1439,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
1298,GPT-4,P3,Physics EM,0.00088,0.51,767,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-6
1299,Llama-3 70B,G1,General Short,0.0004,0.16895,613,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
1300,Grok-1.5,M4,Math Advanced,0.00295,0.98,265,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
